Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,4,Capital Federal,111360.0,1205128.0,60005.0,5.679,29.947,1.412.119
2019-01-01,4,Catamarca,16385.0,13858.0,25100.0,1.512,2.235,59.090
2019-01-01,4,Chaco,35548.0,63145.0,34688.0,8.005,2.359,143.745
2019-01-01,4,Chubut,46361.0,57412.0,9655.0,28.041,18.839,160.308
2019-01-01,4,Córdoba,212011.0,487489.0,217214.0,61.277,8.779,986.770
2019-01-01,4,Corrientes,42523.0,71183.0,10138.0,6.778,5.29,135.912
2019-01-01,4,Entre Ríos,70459.0,133387.0,23452.0,25.022,12.726,265.046
2019-01-01,4,Formosa,17211.0,15111.0,5151.0,16.018,172.0,53.663
2019-01-01,4,Jujuy,22330.0,60511.0,24156.0,2.927,3.991,113.915
2019-01-01,4,La Pampa,8175.0,58000.0,20192.0,19.286,1.354,107.007
2019-01-01,4,La Rioja,10387.0,56651.0,9446.0,6.613,31.0,83.128
2019-01-01,4,Mendoza,59842.0,71553.0,109667.0,24.666,1.859,267.587
2019-01-01,4,Misiones,41778.0,92068.0,22035.0,7.649,7.602,171.132
2019-01-01,4,Neuquén,29175.0,72761.0,23253.0,21.531,746.0,147.466
2019-01-01,4,Río Negro,42037.0,44495.0,32212.0,16.558,18.451,153.753
2019-01-01,4,Salta,46972.0,99808.0,39555.0,5.882,7.188,199.405
2019-01-01,4,San Juan,35868.0,13102.0,11072.0,11.423,8.493,79.958
2019-01-01,4,San Luis,8472.0,11064.0,30.0,70.56,28.723,118.849
2019-01-01,4,Santa Cruz,10790.0,22902.0,10031.0,4.346,417.0,48.486
2019-01-01,4,Santa Fe,233427.0,444373.0,128856.0,43.556,16.229,866.441
2019-01-01,4,Santiago Del Estero,19032.0,86563.0,1088.0,6.256,2.922,115.861
2019-01-01,4,Tierra Del Fuego,13317.0,38148.0,426.0,124.0,342.0,52.357
2019-01-01,4,Tucumán,97830.0,59022.0,78790.0,2.511,486.0,238.639
2019-01-01,3,Buenos Aires,585729.0,2595485.0,885613.0,120.228,64.554,4.251.609
2019-01-01,3,Capital Federal,142902.0,1192107.0,42966.0,6.059,29.371,1.413.405
2019-01-01,3,Catamarca,18413.0,11709.0,22331.0,1.568,2.233,56.254
2019-01-01,3,Chaco,38258.0,63659.0,27583.0,8.018,2.353,139.871
2019-01-01,3,Chubut,49269.0,55794.0,8946.0,23.376,18.681,156.066
2019-01-01,3,Córdoba,229275.0,477223.0,167495.0,57.617,15.178,946.788
2019-01-01,3,Corrientes,44805.0,69403.0,7542.0,6.766,5.303,133.819
2019-01-01,3,Entre Ríos,74443.0,128752.0,20485.0,23.5,13.195,260.375
2019-01-01,3,Formosa,18093.0,14111.0,4730.0,15.69,171.0,52.795
2019-01-01,3,Jujuy,23554.0,60758.0,19926.0,2.952,3.968,111.158
